Return to Table of Contents,,,,,,,,,,
,,,,,,,,,,
Table 27.,,,,,,,,,,
NONIMMIGRANT ADMISSIONS (I-94 ONLY) BY REGION AND COUNTRY OF RESIDENCE: FISCAL YEARS 2013 TO 2022,,,,,,,,,,
,,,,,,,,,,
Region and country of residence,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Oman,"10,057","12,010","12,748","12,573","10,458","11,642","12,355","5,538","4,094","6,995"
Pakistan,"60,805","84,207","98,152","116,952","95,740","96,566","100,336","46,949","39,192","70,015"
Palau,"3,447","2,400",583,388,312,343,297,142,76,236
Panama,"170,543","178,153","184,440","197,607","165,034","168,069","223,198","103,274","100,950","159,577"
Papua New Guinea,"1,317","1,461","1,938","1,513",962,882,"1,490",500,111,691
Paraguay,"29,326","33,760","34,712","35,720","29,826","32,907","37,627","15,273","35,318","25,147"
Peru,"254,183","289,935","318,285","343,668","299,504","292,551","377,180","182,586","334,859","351,145"
Philippines,"312,706","363,269","379,364","408,344","392,876","374,584","461,856","213,042","105,902","252,534"
Pitcairn Islands,62,96,46,50,25,75,109,42,14,31
Poland,"151,148","187,679","199,311","210,431","182,497","194,991","250,990","115,867","21,746","214,947"
Portugal,"117,951","132,266","127,530","135,000","163,851","172,850","168,906","72,495","10,633","111,064"
Puerto Rico,"2,306",777,"1,001","1,058","1,098",990,898,622,389,606
Qatar,"29,609","32,233","35,799","38,650","29,072","34,202","39,484","14,229","18,318","31,447"
Reunion,707,918,"1,289","3,015","1,201","1,565","2,122",833,62,"1,257"
Romania,"71,721","83,824","86,196","93,415","84,721","87,628","108,968","48,165","23,357","58,880"
Russia,"346,800","389,481","302,714","289,947","222,767","182,450","278,210","135,007","77,733","62,799"
Rwanda,"3,488","4,568","4,584","5,627","4,871","5,620","7,201","2,767","2,424","4,374"
Saint Barthelemy,NA,69,71,46,80,57,114,40,105,134
Saint Helena,43,48,47,54,38,60,82,24,16,40
Saint Kitts and Nevis,"11,045","12,384","12,528","12,672","10,959","10,427","14,200","5,586","2,042","7,420"
